Model,ΔF1,ΔRecall,ΔAUC-PR
Logistic Regression,-0.0029,0.0000,-0.0012
Gaussian NB,0.0008,0.0000,-0.0003
KNN (k=1),-0.0012,0.0000,-0.0003
KNN (k=3),0.0104,0.0200,0.0067
KNN (k=5),-0.0083,-0.0200,-0.0006
KNN (k=7),-0.0093,-0.0200,-0.0007
KNN (k=9),-0.0021,0.0000,-0.0016
SVM (RBF),-0.0221,-0.0400,0.0114
Random Forest,-0.0013,0.0000,0.0021
XGBoost,0.0536,0.0400,0.0067
