Model,ΔF1,ΔRecall,ΔAUC-PR
Logistic Regression,0.2054,0.7800,-0.0019
Gaussian NB,-0.0094,0.0000,-0.0010
KNN (k=1),-0.0000,0.0000,0.0000
KNN (k=3),-0.0000,0.0000,0.0000
KNN (k=5),0.0000,0.0000,-0.0000
KNN (k=7),0.0000,0.0000,0.0000
KNN (k=9),0.0000,0.0000,0.0000
SVM (RBF),0.2353,0.6800,0.0632
Random Forest,-0.0377,-0.0200,-0.0039
XGBoost,0.0685,0.0600,0.0232
