Model,Strategy,F1 (t=0.5),Recall (t=0.5),F1 (t*),Recall (t*),t*,ΔF1,ΔRecall
Logistic Regression,Exp-2: SMOTE,0.2393,0.7800,0.3444,0.5200,0.8100,0.1051,-0.2600
XGBoost,Exp-3: ADASYN,0.1647,0.1400,0.2367,0.4000,0.0900,0.0720,0.2600
SVM (RBF),Exp-3: ADASYN,0.2283,0.4200,0.2428,0.4200,0.5500,0.0145,0.0000
