Model,Strategy,Operating Point,t,F1,Recall,Precision
Logistic Regression,Exp-2: SMOTE,Screening,0.1350,0.1505,0.9000,0.0821
Logistic Regression,Exp-2: SMOTE,Balanced,0.8100,0.3444,0.5200,0.2574
Logistic Regression,Exp-2: SMOTE,Confirmatory,0.8750,0.3030,0.3000,0.3061
XGBoost,Exp-3: ADASYN,Screening,0.0100,0.2143,0.7200,0.1259
XGBoost,Exp-3: ADASYN,Balanced,0.0900,0.2367,0.4000,0.1681
XGBoost,Exp-3: ADASYN,Confirmatory,0.8050,0.1270,0.0800,0.3077
SVM (RBF),Exp-3: ADASYN,Screening,0.0100,0.1719,0.8800,0.0952
SVM (RBF),Exp-3: ADASYN,Balanced,0.5500,0.2428,0.4200,0.1707
SVM (RBF),Exp-3: ADASYN,Confirmatory,0.9400,0.1714,0.1200,0.3000
