threshold,F1,F2,Recall,Precision,Accuracy
0.7300,0.3232,0.4598,0.6400,0.2162,0.8689
0.7350,0.3265,0.4624,0.6400,0.2192,0.8708
0.7400,0.3282,0.4638,0.6400,0.2207,0.8718
0.7450,0.3298,0.4586,0.6200,0.2246,0.8767
0.7500,0.3316,0.4599,0.6200,0.2263,0.8777
0.7550,0.3370,0.4641,0.6200,0.2313,0.8806
0.7600,0.3371,0.4573,0.6000,0.2344,0.8845
0.7650,0.3429,0.4615,0.6000,0.2400,0.8875
0.7700,0.3529,0.4688,0.6000,0.2500,0.8924
0.7750,0.3452,0.4560,0.5800,0.2458,0.8924
0.7800,0.3457,0.4487,0.5600,0.2500,0.8963
0.7850,0.3500,0.4516,0.5600,0.2545,0.8982
0.7900,0.3544,0.4545,0.5600,0.2593,0.9002
0.7950,0.3506,0.4441,0.5400,0.2596,0.9022
0.8000,0.3378,0.4195,0.5000,0.2551,0.9041
0.8050,0.3380,0.4110,0.4800,0.2609,0.9080
0.8100,0.3404,0.4124,0.4800,0.2637,0.9090
0.8150,0.3407,0.4035,0.4600,0.2706,0.9129
0.8200,0.3359,0.3915,0.4400,0.2716,0.9149
0.8250,0.3465,0.3971,0.4400,0.2857,0.9188
0.8300,0.3443,0.3860,0.4200,0.2917,0.9217
0.8350,0.3559,0.3918,0.4200,0.3088,0.9256
0.8400,0.3717,0.3992,0.4200,0.3333,0.9305
0.8450,0.3455,0.3654,0.3800,0.3167,0.9295
0.8500,0.3333,0.3488,0.3600,0.3103,0.9295
0.8550,0.3077,0.3150,0.3200,0.2963,0.9295
0.8600,0.3137,0.3175,0.3200,0.3077,0.9315
0.8650,0.3158,0.3061,0.3000,0.3333,0.9364
0.8700,0.3191,0.3074,0.3000,0.3409,0.9374
0.8750,0.3333,0.3125,0.3000,0.3750,0.9413
0.8800,0.3133,0.2790,0.2600,0.3939,0.9442
0.8850,0.2368,0.1991,0.1800,0.3462,0.9432
0.8900,0.2162,0.1786,0.1600,0.3333,0.9432
0.8950,0.2059,0.1606,0.1400,0.3889,0.9472
0.9000,0.1935,0.1415,0.1200,0.5000,0.9511
0.9050,0.1695,0.1196,0.1000,0.5556,0.9521
0.9100,0.1429,0.0971,0.0800,0.6667,0.9530
0.9150,0.1455,0.0976,0.0800,0.8000,0.9540
0.9200,0.1455,0.0976,0.0800,0.8000,0.9540
0.9250,0.1111,0.0735,0.0600,0.7500,0.9530
0.9300,0.0755,0.0493,0.0400,0.6667,0.9521
0.9350,0.0385,0.0248,0.0200,0.5000,0.9511
0.9400,0.0385,0.0248,0.0200,0.5000,0.9511
0.9450,0.0385,0.0248,0.0200,0.5000,0.9511
0.9500,0.0385,0.0248,0.0200,0.5000,0.9511
0.9550,0.0392,0.0249,0.0200,1.0000,0.9521
0.9600,0.0000,0.0000,0.0000,0.0000,0.9511
0.9650,0.0000,0.0000,0.0000,0.0000,0.9511
0.9700,0.0000,0.0000,0.0000,0.0000,0.9511
0.9750,0.0000,0.0000,0.0000,0.0000,0.9511
0.9800,0.0000,0.0000,0.0000,0.0000,0.9511
0.9850,0.0000,0.0000,0.0000,0.0000,0.9511
