threshold,F1,Recall,Precision,MCC
0.5650,0.1493,0.1000,0.2941,0.1478
0.5700,0.1538,0.1000,0.3333,0.1609
0.5750,0.1311,0.0800,0.3636,0.1522
0.5800,0.1017,0.0600,0.3333,0.1243
0.5850,0.1034,0.0600,0.3750,0.1343
0.5900,0.0702,0.0400,0.2857,0.0912
0.5950,0.0727,0.0400,0.4000,0.1141
0.6000,0.0727,0.0400,0.4000,0.1141
0.6050,0.0370,0.0200,0.2500,0.0584
0.6100,0.0370,0.0200,0.2500,0.0584
0.6150,0.0377,0.0200,0.3333,0.0715
0.6200,0.0377,0.0200,0.3333,0.0715
0.6250,0.0377,0.0200,0.3333,0.0715
0.6300,0.0377,0.0200,0.3333,0.0715
0.6350,0.0377,0.0200,0.3333,0.0715
0.6400,0.0000,0.0000,0.0000,-0.0071
0.6450,0.0000,0.0000,0.0000,-0.0071
0.6500,0.0000,0.0000,0.0000,0.0000
0.6550,0.0000,0.0000,0.0000,0.0000
0.6600,0.0000,0.0000,0.0000,0.0000
0.6650,0.0000,0.0000,0.0000,0.0000
0.6700,0.0000,0.0000,0.0000,0.0000
0.6750,0.0000,0.0000,0.0000,0.0000
0.6800,0.0000,0.0000,0.0000,0.0000
0.6850,0.0000,0.0000,0.0000,0.0000
0.6900,0.0000,0.0000,0.0000,0.0000
0.6950,0.0000,0.0000,0.0000,0.0000
0.7000,0.0000,0.0000,0.0000,0.0000
0.7050,0.0000,0.0000,0.0000,0.0000
0.7100,0.0000,0.0000,0.0000,0.0000
0.7150,0.0000,0.0000,0.0000,0.0000
0.7200,0.0000,0.0000,0.0000,0.0000
0.7250,0.0000,0.0000,0.0000,0.0000
0.7300,0.0000,0.0000,0.0000,0.0000
0.7350,0.0000,0.0000,0.0000,0.0000
0.7400,0.0000,0.0000,0.0000,0.0000
0.7450,0.0000,0.0000,0.0000,0.0000
0.7500,0.0000,0.0000,0.0000,0.0000
0.7550,0.0000,0.0000,0.0000,0.0000
0.7600,0.0000,0.0000,0.0000,0.0000
0.7650,0.0000,0.0000,0.0000,0.0000
0.7700,0.0000,0.0000,0.0000,0.0000
0.7750,0.0000,0.0000,0.0000,0.0000
0.7800,0.0000,0.0000,0.0000,0.0000
0.7850,0.0000,0.0000,0.0000,0.0000
0.7900,0.0000,0.0000,0.0000,0.0000
0.7950,0.0000,0.0000,0.0000,0.0000
0.8000,0.0000,0.0000,0.0000,0.0000
0.8050,0.0000,0.0000,0.0000,0.0000
0.8100,0.0000,0.0000,0.0000,0.0000
0.8150,0.0000,0.0000,0.0000,0.0000
0.8200,0.0000,0.0000,0.0000,0.0000
0.8250,0.0000,0.0000,0.0000,0.0000
0.8300,0.0000,0.0000,0.0000,0.0000
0.8350,0.0000,0.0000,0.0000,0.0000
0.8400,0.0000,0.0000,0.0000,0.0000
0.8450,0.0000,0.0000,0.0000,0.0000
0.8500,0.0000,0.0000,0.0000,0.0000
0.8550,0.0000,0.0000,0.0000,0.0000
0.8600,0.0000,0.0000,0.0000,0.0000
0.8650,0.0000,0.0000,0.0000,0.0000
0.8700,0.0000,0.0000,0.0000,0.0000
0.8750,0.0000,0.0000,0.0000,0.0000
0.8800,0.0000,0.0000,0.0000,0.0000
0.8850,0.0000,0.0000,0.0000,0.0000
0.8900,0.0000,0.0000,0.0000,0.0000
0.8950,0.0000,0.0000,0.0000,0.0000
0.9000,0.0000,0.0000,0.0000,0.0000
0.9050,0.0000,0.0000,0.0000,0.0000
0.9100,0.0000,0.0000,0.0000,0.0000
0.9150,0.0000,0.0000,0.0000,0.0000
0.9200,0.0000,0.0000,0.0000,0.0000
0.9250,0.0000,0.0000,0.0000,0.0000
0.9300,0.0000,0.0000,0.0000,0.0000
0.9350,0.0000,0.0000,0.0000,0.0000
0.9400,0.0000,0.0000,0.0000,0.0000
0.9450,0.0000,0.0000,0.0000,0.0000
0.9500,0.0000,0.0000,0.0000,0.0000
0.9550,0.0000,0.0000,0.0000,0.0000
0.9600,0.0000,0.0000,0.0000,0.0000
0.9650,0.0000,0.0000,0.0000,0.0000
0.9700,0.0000,0.0000,0.0000,0.0000
0.9750,0.0000,0.0000,0.0000,0.0000
0.9800,0.0000,0.0000,0.0000,0.0000
0.9850,0.0000,0.0000,0.0000,0.0000
